root_news,label
"In America:

? 41.9% of people are obese 
? 70 million suffer from gut issues 
? 48% have cardiovascular diseases 
? 6 in 10 adults have one chronic disease

There is clearly something rotten in the healthcare system, with its roots stretching back to Rockefeller¡­ https://t.co/dHl32Ql0uk",1
"3. Enhanced Brain Function

Fasting increases the production of brain-derived neurotrophic fact or (BDNF).

This is magical brain fertiliser.

It supports cognitive function, learning, and memory, while also protecting against neurodegenerative diseases.

@THEBENAZADI speaks more on this here:",0
"""Fasting is the first principle of medicine."" - Rumi

You've probably eaten food everyday of your life.

Give your poor body a break.

HERES HOW TO FAST AND WHY ITS SO BENEFICIAL:",1
"BREAKING NEWS: CANCER IS NOW CURABLE

Nature works wonders in healing. Groundbreaking research has uncovered that a remarkable 76% of cancer patients who turned to traditional medicine over chemotherapy and radiotherapy have experienced extraordinary recovery. Nature holds the power to heal, as it is written: 'The leaves of the tree are for the healing of the nations' (Ezekiel 47:12)",1
"CRIMES AGAINST HUMANITY

Pandemic Whistleblower LPN Licensed Practical Nurse Says They Were Told Specifically Not To Give Covid Patients a Medicine They Now Know Would Have Saved Their Lives

The medicine would have made it harder for the blood to clot, saving those who died from blood clots.

 ¡°We were told, do not give COVID patients Ibuprofen. We were not told why. ¡ª If you know anything about Ibuprofen, it is a blood thinner. A lot of people who had complications with COVID from what I've seen personally was from blood clots. What would have prevented a blood clot? A blood thinner.¡±

So I need to say this, and I know that it's gonna pressure some people, but if you were in the medical field when first started in 2020, in March of 2020, I need you to chime in on this because I know I'm not losing my mind. I have even asked coworkers that I worked with at the facility that I worked with at this time, like, do you guys remember this? And they're like, yes. Yes. I do. 

Okay. So when COVID first hit, I'm an LPN, a licensed practical nurse here in Tennessee. Um, I worked at a correctional facility during the hot of COVID from March 1, 2020 to sometime in 2023 is when I worked my last shift. I think April of 2023.

So, anyway, when COVID first hit, we were told, do not give COVID patients Ibuprofen. We were not told why. We were just told, give Tylenol only. We had a whole COVID protocol. We had, you know, Zofran and Imodium and Tylenol on this protocol and so did other facilities, but Ibuprofen was not on this protocol.¡±

¡°I just think I'm starting to put I know it's 4 years later, but I swear to god just now, today, like, I was literally on the boat and just put 2 and 2 together. I was like, wait a damn minute. They told us not to give people with COVID Ibuprofen. Ibuprofen is a blood thinner. A lot of people passed away of blood clots, which could have potentially been avoided by a blood thinner.¡±

¡°I'm not no RN and I'm not an MD. I know I'm just an LPN but I have f**king common sense. Okay, And I have a lot of medical knowledge based off of the providers that I worked with previously who have also talked about stuff like this.

So I'm just saying if you if you remember this and you worked in the medical field as as anything during that time and you witnessed what I'm talking about, please chime in because I know I'm not I'm not going crazy. This this happened. We were told only to give Tylenol, and then all these people passed away from blood clots. I'm just saying. I'm just saying.¡±",1
"Modern medicine is a scam. Doctors aren¡¯t interested in treating you. They just want to earn money by ordering unnecessary tests and prescribing costly medicines. Stick to homemade remedies like tulsi, neem, giloy, naturopathy, and Ayurveda, even for diseases like cancer, hypertension, and diabetes. I said what I said.",1
"A celebrated professor of evolutionary biology has revealed that Covid mRNA shots are ¡°bioweapons¡± that can target entire populations by ¡°triggering the immune system to stand down.¡± Dr. Bret Weinstein dropped the bombshell during a recent interview with podcaster Joe Rogan

https://t.co/j66gjvpmJJ",1
"The way Native people are underserved and frequently undiagnosed, misdiagnosed and gaslit, dismissed by medicine is 100% deliberate.",1
Plants and mushrooms heal many illnesses but Rockefeller shut down natural medicine so his petroleum based products would be the only treatments for illness.,1
These foods were consumed by our ancestors to achieve a lifespan of over 100 years in their time. Remember your food is supposed to  serve as medicine for your body. https://t.co/Qu25HYD7y7,1
"My view:
Psychiatry made great mistake 50 yrs ago pushing ""Medical Model"" of mental disorder.

Goals were to promote:
1)Insurance reimbursement
2)Brain/Gene research
3)Psych meds
4)Tie to medicine

But ignored:
1)All psych problems Bio/Psycho/Social
2)Reductionism is always wrong https://t.co/K1LLkO0I7T",1
"Food is medicine!

But your doctors will never prescribe it.

Add herbs to your food every day. It¡¯s the cheapest medicine that will make you healthy and strong.

Rosemary, Thyme and Parsley below: https://t.co/umxdbPTVJX",1
"No surgical procedures can treat fibroids. Infact after surgery, it will come back again. 

Only herbal medicine can permanently eradicate it. Nature heals. https://t.co/heBfA1bUm6",1
"To the morons using Kate Middleton¡¯s cancer diagnosis as a means to try and claim that mRNA COVID vaccines caused it, please stop pretending to know the slightest about medicine and oncology. 

If you did you would know that mRNA technology will continue to be used, not to cause cancer but to find cures and treatments for cancer.",1
"?? 17,000 Leading Doctors Demand COVID Vaccine Ban and Call for Nuremberg 2.0 Trials

The official narrative surrounding the mRNA vaccines is unraveling fast. Officially, these vaccines are now considered the deadliest drugs in the history of Western medicine, causing death and injury to millions worldwide - yet, the media and powerful elites continue to cover it up.

In the past, drugs like Thalidomide rocked the world and led to massive scandals. But the mRNA vaccines? Their devastating toll on human life has been conveniently ignored or downplayed, as the very people responsible - Big Pharma and the global elite - continue to pull the strings behind the scenes.

The stakes couldn¡¯t be higher, but it¡¯s not too late. Thousands of brave doctors, including some of the most respected researchers in the world, are stepping forward, risking their careers, and their lives, to fight back against the machine and expose the greatest cover up in history.",1
"People who get vaccinated are always sick. 

People who wear sunscreen are always getting skin cancer.

People who take antidepressants are always depressed.

This should tell you everything that you need to know about mainstream medicine.",1
"I seriously do not understand why these so called modern medicine doctors always make a fool of themselves by being fence sitters and acting diplomatic when it comes to calling out pseudoscientific, ancient primitive therapies such as Ayurveda. Say it out loud. Who are you afraid of? Your responsibility is only towards your patients, their families and public health. Act like doctors for real. Doctor means teacher. 

Teach people the truth. Or else just be silent. 

Dear Ayurvedic practitioners, we are not against you, but we are against the unfounded, absolutely hogwash nonsensical pseudoscience you promote, advertise and proclaim as healthcare in the name of tradition, religion, culture and nationalism driven beliefs. 

There is no science or evidence in it and how much ever you try in your lifetime or many lifetimes thereafter, you will never be able to find evidence or make Ayurveda or such traditional medicine scientific. It simply cannot be done because its primary principles are unscientific drivel. 

Ayurveda and traditional medical practices are remnants of a bygone era that needs to be inside a museum and not taught as a career in healthcare. You are wasting your life and misleading other students to waste theirs.

There is no alternative physics, or chemistry, or biology. And there is only medicine. Alternative medicine is a waste of everyone's time and money and it is pure business of healthcare and nothing to do with absolute and realistic patient care. 

Why are you even asking for lame evidence from juice drinking and cancer cure? You think that's even a hypothesis or a rational objective? These statements fuel misunderstanding of scientific evidence and clinical levels of evidence in people. They think there would be something in these nonsense pseudosciences when there is nothing. 

Be real and show these quacks their place.",1
"The Four Deadly Ways COVID Vaccines KiII: Insights from Dr. Peter McCullough

#1 - Cardiovascular: heart inflammation, myocarditis, cardiac arrest.

#2 - Neurologic: All forms of stroke, Guillain‚ÄìBarr√© syndrome, neuropathy.

#3 - ""Blood clotting like we've never seen in medicine before"": Don't respond to typical blood thinners. A ""disaster.""

#4 - Immune system abnormalities: Suppressed immune systems, autoimmune disease, etc.

@P_McCulloughMD 

Repost and follow for more informative content. Related articles are attached in the thread below ‚¨áÔ∏è",1
"COVID is over.

There is no good evidence that this new ‚Äúwave‚Ä?is special.

Elites are trying to restart COVID because they are terrified of Trump.

Medicine and public health are sacred arts.

Resist their shameful politicization. https://t.co/rKQ9jE1k31",1
"Covid Vaccines Are Officially Deadliest Drug In History and Nobody Is Allowed to Talk About It

The Pfizer Covid-19 mRNA vaccine is now officially the most deadly drug in the history of Western medicine, killing and injuring hundreds of millions of people, with new cases emerging every single day as the fallout from the rollout continues to blow out exponentially.  

But don‚Äôt take my word from it. The data that proves Covid vaccines are the deadliest drug in the long history of Western medicine is taken from Pfizer‚Äôs own documents. That‚Äôs right ‚Ä?Pfizer have released documents admitting the unprecedented carnage caused by their product.  

While previous deadly drugs caused a scandal in their day ‚Ä?think of Thalidomide, for instance ‚Ä?nobody is allowed to talk about the fact experimental mRNA vaccines have killed an extraordinary number of people.  

The cover up is extraordinary and it continues to this day with Bill Gates recently boasting of a new range of mRNA vaccines for every conceivable ailment.  

This evil plot against humanity has been in the works for years, and those who know the truth have a duty to expose it to as many people as possible.",1
The future of medicine is frequency and vibration! Rogue cancer cells cured by resonance and overriding frequencies!¬† So interesting!¬† Going back to natural harmonics and sound frequencies will change our world! https://t.co/yoo61Z5rZ8,1
"Written by a NICU nurse. 

""I am a neonatal intensive care unit (NICU) nurse. For almost 14 years I worked in some of the best children‚Äôs hospitals in the country. I have never really been one to question ‚Äúmodern medicine‚Ä?until somewhat recently. When you work in healthcare, you mostly just assume that everything is research-based, done with purpose, and done for the ultimate good of the patient. ‚ÄúFirst, do no harm‚Ä? right? I think having my own child and realizing the gravity of my decisions regarding his care have made me dig very VERY deep into the research behind what has come to be second nature to the majority of us: vaccines.""

""I am not a crazy, emotionally-driven person. I think anyone reading this knows me well enough to appreciate that about me. My husband will tell you that I research things to death ‚Ä?it‚Äôs true. I don‚Äôt watch TV and I couldn‚Äôt care less about what Hollywood celebrities have to say about any topic. I never was even interested in the autism aspect/argument, and that is not at all what led me to start looking into vaccine research. It was actually one of my best friends who is a critical care pediatric nurse practitioner ‚Ä?she was always in favor of vaccines, worked in cardiac ICU and oncology units in reputable children‚Äôs hospitals and thought it was crazy not to vaccinate your kids. Flash forward to today and none of her children are vaccinated. She is one of the smartest, most well-read and well-researched people I know. She has written medical journal articles and has contributed chapters to medical textbooks. She does NOT make decisions without a great deal of research, thought and prayer. So when she did a 180 on vaccines, I listened. And I began to research on my own.""

I went from spending 14 years of my nursing career giving vaccines to my patients and thinking parents who didn‚Äôt vaccinate were irresponsible and crazy, to now recognizing the great harm that is being done to our children by the vaccine industry. Autoimmune disease, asthma, eczema, food allergies (especially peanut), seizure disorders, learning disabilities, chronic ear infections, allergies ‚Ä?all these health issues are running rampant in our kids.

I witnessed countless occasions of vaccine injury in the NICU, and the truly disturbing part is that it is considered ‚Äúnormal‚Ä? We would vaccinate babies and then inevitably that night or the next day the baby would have increased apnea spells (they would stop breathing), they would require increased ventilator support, they‚Äôd have more feeding difficulties or higher amounts of gastric residual/vomiting. The doctors were never surprised. This was just an expected response to vaccination. This was the standard in every NICU I worked in (that would be 6 different NICUs all over the country).

I also never ONCE, not in 14 years, observed a doctor giving true informed consent to parents regarding vaccinating their baby.

 It was our job as the nurse to get the parents to just sign the consent form after handing them a printed off sheet from the CDC which was strongly biased toward vaccination. If you were told the truth that your baby could stop breathing after getting vaccines, would you perhaps question it? Or at least ask to postpone until they are older? If you as a parent aren‚Äôt 100% certain that the medical intervention you are giving your child is safe and healthy for them, then you have the right (and the responsibility) to say no. Ask to wait. Ask to delay until you research further. You can always vaccinate later. You can never UN-vaccinate. Every state allows for vaccine exemptions for your child to attend public school. Most allow for religious or conscience exemptions (47 states) in addition to medical exemptions.

I am not demanding that you stop vaccinating your kids. I am simply urging you to question. Do your own research. Find sources that aren‚Äôt bought and paid for by the pharmaceutical industry. Make sure there aren‚Äôt conflicts of interest. """,1
"I don‚Äôt wear sunscreen. 

Why? 

Because the sun doesn‚Äôt cause cancer. Your diet and environment cause cancer. 

Sunscreen chemicals disrupt estrogen, progesterone, testosterone, and thyroid hormones. 

A diet high in antioxidants is better than sunscreen.

Sunshine is medicine. https://t.co/HaCLJAkMxt",1
"BREAKING: Nobel Prize in medicine 2023 goes to COVID-19 mRNA vaccines.
A prize for killing 17+ million mostly elderly citizens.
More proof that the Nobel is a captured propaganda instrument. https://t.co/ySFOAJmiSI",1
"Gut diseases are on the rapid rise.

Thus, restoring the digestive system is imperative.

I helped 1427+ people reverse their chronic gut issues with my functional medicine approach.

Here is my battle-tested gut reset protocol: https://t.co/aXSrOLcITz",1
"Are you suffering from a toothache?

Toothaches can be a lot of pain and prohibit doing things like chewing, speaking, etc. There are a lot of ways to treat toothaches
and one of them is placing ginger.

Ginger is a powerful medicine for any sort of sickness including colds, flu, sore throats, and even toothaches. Ginger is packed with anti-inflammatory properties and antibacterial properties to help prevent the buildup of bacteria and plaque. It can also strengthen the gum tissue, lower the risk of inflammatory disease, and is good as temporary oral pain
relief.",0
"Did you know this ancient secret can soothe your sore wrist in no time?üëá

üåøHas been used for centuries in traditional medicine.

It‚Äôs the perfect remedy for a sore wrist!

üß™Here‚Äôs the science behind it :
‚Ä?It contains powerful anti-inflammatory compounds called gingerols. These compounds can penetrate the skin, targeting the affected area directly and reducing inflammation at its source.

‚ùóÔ∏èNote :
‚Ä?To get better results buy the ginger roots that are thinner, the big ones aren‚Äôt as potent

üìã How to use ginger for your sore wrist :
1Ô∏è‚É£Grate a small piece of fresh ginger.
2Ô∏è‚É£Wrap the grated ginger in a clean cloth or bandage.
3Ô∏è‚É£Apply the bandage to your sore wrist for 20-30 minutes.

‚úÖRepeat twice daily for best results.

üå± Top 3 natural alternatives :
1Ô∏è‚É£Turmeric :
‚Ä?Contains curcumin, another powerful anti-inflammatory agent.
2Ô∏è‚É£Arnica :
‚Ä?A popular herbal remedy for pain and swelling.
3Ô∏è‚É£Epsom salt :
‚Ä?Dissolve in warm water for a soothing soak.

üíäGinger VS common anti-inflammatory creams :
üëéMany creams for sore wrists contain synthetic ingredients and can cause side effects.

üëçGrated ginger is all-natural, has no known side effects, and can be just as effective!

üåü Fun fact :
‚Ä?Ginger is a unique plant as it‚Äôs both a spice and an herb. Its versatility has earned it the nickname ‚Äúthe universal medicine‚Ä?in Ayurveda!

Try it today and share your experience! üåü",0
"you can never take mushrooms or any entheogenic plants to get high. these plants have spirits and you will experience consequences if you disrespect their sacred medicine. 

when psilocybin mushrooms were colonized and culturally appropriated from mazatec woman, maria sabina, it was because a white man, gordon wasson, deceived her to gain access to her teachings on her sacred mushroom ceremonies. he was affiliated with the CIA and MKUltra, as well as the vice president of J.P morgan at the time. 

the colonizer took her teachings after deceiving her and wrote a book mentioning her. this attracted attention from the mexican police and foreigners visiting the mazatec tribe to take the medicine, but they didn‚Äôt respect the medicine at all. the tribe felt threatened by these new dynamics, burned her house down, and murdered her son. she died in poverty and the colonizer was given credit for ‚Äúdiscovering‚Ä?mushrooms. 

sacred mushrooms were only used to heal the sick/receive help from god with experienced shamans - the mazatec knew them as ‚Äúsaibas‚Ä? it is much safer to have a shaman/therapist/trained facilitator to take you through the process because you are more vulnerable to external influences, entities, and your own unconscious. 

energetic protection and cleansing before and after is ESSENTIAL, which is what trained healers do. you also CANNOT mix them with other substances like alcohol because you‚Äôd be abusing the plant medicine and you can easily end up with psychosis that can lead to suicide or mental illness. 

in huautla they called them ‚Äúlos ninos santo‚Ä?which means the holy children. maria sabina did take the mushrooms alone, with her sister, with friends, and in ceremonies to heal herself because she had a proper understanding of the sacredness of them. she had a relationship with the sacred medicine. you cannot disrespect mushrooms under any circumstances or use them to get high. you cannot abuse entheogenic plants (mushrooms, ayahuasca, etc) because they will disrespect you back. respect is a two way street.",0
"From the history of medicine.
¬†
In the 18th century, doctors used the following method to save those who drowned in water: they inserted a tube into the anus of the drowned person and through this tube they blew tobacco smoke into the anus. At that time, doctors were confident that this was a very effective method of saving people.
¬†
Always trust the doctor, because the doctor will not advise anything bad.",0
"‚ÄúEvery day of 2024 remaining is likely to have more transmission than today,‚Ä?Dr. Michael Hoerger of Tulane University School of Medicine, ‚ÄúPeople should really be taking the rest of the year very seriously.‚Ä?
‚ÄúThe wave of infections is actually higher than we saw last summer‚Ä?https://t.co/CCaxXy2X2q",0
"The Americans are very angry. We can't swim as fast as you even if we take medicine. You must have taken medicine too.

Unlike Americans, Chinese athletes don't like to have asthma. https://t.co/1Kmut0si5K",1
"Until we make a conscious decision to go back to NATURE, the government needs to build more dialysis centres. 

WHY?

Every SYNTHETIC medicine prescribed to you by a Doctor in its normal dose has KIDNEY DAMAGE as a side effect. 

Yet, society is silent on this. https://t.co/m5CrB6v7Ls",1
Ever notice how COVID vaccine commercials are the ONLY medicine commercials that don't have 28 seconds of side effect warnings that include death?,1
There has been protests over allowing Ayurveda surgeons to do operations.Dhanwanthari did so millenniums before. It began in d vedic age. Its medicines have no side effect. Its efficacy has been proven&amp;time tested. Modern medicine can't compete with this. Dvlpd world accepts it.,1
"In Kenya, research shows 76% of cancer patient who turn to traditional medicine instead of chemotherapy have drastically improved. Nature heals 

 https://t.co/QRf9z5QL8m",1
"No man should die from PROSTATE CANCER. 

Soursop leaves + pigweed can cure it within three months. 

Mix equal quantities of dried powdered plant and take two tablespoons as tea morning and evening before meals. You will be cured. 

Nature heals. https://t.co/vZnVWo26VD",1
"Moderna has admitted its mRNA COVID vaccine causes CANCER after billions of DNA fragments were found in vials of the dangerous injection.
The revelation was made after Dr. Robert Malone recently made¬†an appearance¬†at an¬†‚ÄúInjuries Caused by COVID-19 Vaccines‚Ä?hearing¬†led by Congresswoman Marjorie Taylor Greene (R-Ga.), at which he revealed how Moderna‚Äôs patent shows that its (COVID-19) ‚Äúvaccine‚Ä?vials contain billions of DNA fragments and other contaminants linked to birth defects and cancer.

https://t.co/LQ6V1cHayj",1
"NEW ARTICLE: IVERMECTIN Testimonial - Thyroid Cancer disappears after short term high dose Ivermectin Therapy

Another Ivermectin success story üòÉ

I will be posting Ivermectin, Mebendazole and Fenbendazole success stories here and believe me, there are going to be thousands.

There is very little preclinical research on Ivermectin and Thyroid Cancer so these types of experiences are going to be crucial in developing an understanding of the role of Ivermectin in Thyroid Cancer

These testimonials are also crucial as we face a tsunami of Turbo Cancer in those who took contaminated Pfizer or Moderna COVID-19 mRNA Vaccines and developed cancer as a result.

Article Link in photo to avoid shadowban, just re-type the URL in the 1st photo at the top, into your browser to access   

#TurboCancer",1
"Today, let’s talk celery and its impact on cancer.

Humble celery contains powerful flavonoids, apigenin and luteolina. Research suggests these flavonoids may help protect against various types of cancer.

Studies have linked apigenin to a 21% reduced risk of ovarian cancer. Apigenin impacts the expression of over 15 cancer processes which fuels tumor growth.

If you have cancer, or are preventing it, include more celery in your diet. Snack on it. Toss it in salads. Dip it into humus, or blend it into your juices.",0
"Johnson & Johnson Was Caught Adding Cancer Causing Carcinogens Into Their Sunscreens..... 

The EXACT SAME CANCER That The Company Makes The Majority Of Their Revenue Selling Drugs For....🤨😒😡

hiddeninplainsight1",1
"Britishers are protesting in front of the Bill gates car to get him arrested for fraud in the COVID vaccine. 

Japanese prosecutors plan to Arrest Bill Gates over COVID-19 vaccines.

ARREST Bill Gates and Dr. Fauci for injecting the World with HIV and Cancer. https://t.co/ISVCD39DNh",1
"🚨They will try every possible way to slowly kill you and your children while selling you the ""cure.""

⚠️ Johnson &amp; Johnson baby powder caused cancer

⚠️ Johnson &amp; Johnson covid vaccine caused blood clots

⚠️ Johnson &amp; Johnson owned by Blackrock &amp; Vanguard https://t.co/QjIxWR8X6y",1
"Cancer Surgeon: “Ivermectin Is SAFER Than a Sugar Pill”

“You’d have to take a lot to make yourself sick.”

Dr. Kathleen Ruddy has also observed multiple late-stage cancer patients make dramatic recoveries after taking ivermectin.

Ivermectin is also:
• A Nobel Prize-winning discovery (2015)
• Recognized, 2nd to penicillin, for having the greatest impact on human health
• Credited for bringing river blindness to the brink of elimination
• Used globally in HUMANS, with over 3.7 billion doses administered.",1
"This is Thomas Seyfried.

He's a scientist who's dedicated 30+ years to researching cancer.

His message? Cancer IS preventable.

It's caused by lifestyle factors, not genetics.

Here are Seyfried's 7 MOST important rules for preventing cancer: https://t.co/QzOvlFLDJC",1
"5. Reduce Inflammation.

Chronic inflammation is linked to cancer. 

Seyfried advises adopting an anti-inflammatory lifestyle, which includes:

• Avoiding processed foods & sugar
• Consuming anti-inflammatory foods (turmeric, fatty fish, green tea, etc)
• Reducing stress through things like meditation, deep breathing & proper supplements",0
"4. Fasting.

Seyfried is a big advocate for both intermittent fasting & longer-term fasting.

Fasting reduces blood glucose & enhances ketone production...

Which cancer cells cannot efficiently use.

This helps inhibit their growth & promotes autophagy (the body’s process of cleaning out damaged cells).",0
"Ray Peat on Baking Soda, Carbon Dioxide, and Cancer

This organism that’s sometimes called a tumor is trying to heal, it’s lacking in something. Do we know what it’s lacking in? 

For one thing, carbon dioxide. The person who asked about a fungus probably heard about Simoncini in Italy. Baking soda, interestingly, often provides what the tumor lacks to be able to heal, which is carbon dioxide—sodium plus carbon dioxide.

In the 18th century, people were already experimenting. The discovery of carbonated water was closely related to the observation that carbon dioxide helps with cancer. People saw a great improvement in breast cancer just by exposing it to carbon dioxide. There’s a book that reviews the history of treating cancer with carbon dioxide, including carbon dioxide enemas, breathing it, or sitting in a bag full of it to absorb through the skin.

When you’re under stress, the characteristic feature of cancer identified by Otto Warburg a hundred years ago is that it can’t stop producing lactic acid. This is normal in an injury, but injured tissue producing lactic acid stimulates growth, which helps healing. At some point, though, the lactic acid must stop to allow the tissue to mature instead of continuing to grow. Carbon dioxide is a feature, produced by respiring mitochondria, that should turn off lactic acid production. If something limits your ability to produce and retain carbon dioxide, you can’t turn off lactic acid.

Simoncini’s baking soda sometimes provides enough sodium and bicarbonate (or carbon dioxide) to suppress lactic acid and allow healing.

Why is carbon dioxide production sometimes low? 

Factors like low thyroid, low calcium, low vitamin D, and low sodium can all limit carbon dioxide production.

Would it be reasonable to occasionally take a teaspoon of baking soda? 

Athletes find their endurance greatly increased with typical doses of a tablespoon of baking soda at the start of an endurance race. Even a fourth of a teaspoon in water can make a big difference in how someone feels. I’ve known people who always got swollen feet on airplane trips, but after taking a spoonful of soda in water, they found their feet didn’t swell.”",1
"It’s sad that I have to say this in the 21st century. Cancer should be treated with Surgery, Chemo and radiation. No cancer can be cured with Ayurveda, fasting or with turmeric. Cancer is curable if detected early. https://t.co/INEbmqsa3t",0
"They're adding cancer causing ingredients to the Food Supply, so they can make money from chemo later. https://t.co/8Flv3y6Eat",1
"Dr Lee Merritt :  “Doctors around the world are showing that cancer is intracellular parasites”

“If you look at cancer under a light microscope, its essentially indistinguishable from parasite egg sacs” 

Is that why they tried so hard to shut down Ivermectin and other anti-parasitics during #Covid? 

Should we be looking at cancer in a different way? Is cancer related to parasites, worms or fungus?",1
"“Cancer cannot get a hold on the body if the Liver is working at optimum performance”
 https://t.co/KY7SjpZPvj",1
"The best parts about being unjabbed is:

-No vaccine induced myocarditis 
-No vaccine induced cancer
-No unprecedented health issues 
-Being part of the control group 
-It helps sleep at night
-Proof that nobody needed these vaccines &amp; it was all arbitrary
-No Blood clots",1
"Know this:

Cancer loves an acidic environment; so know which foods are acidic.

Cancer loves a low oxygenated state; so exercise/walk.

Cancer loves high glucose/sugar; so intermittent fast, reduce processed high carb foods.

Do NOT give cancer what it loves.

RT for Awareness",1
"NEW ARTICLE: IVERMECTIN Testimonial in Breast Cancer - after 4 months of high dose Ivermectin, patient is cancer free. Now what?

I know how much mainstream Oncology and Big Pharma love these Ivermectin success stories  😃 

Every time a patient cures themselves with Ivermectin, somewhere, an mRNA Cancer Vaccine maker loses another $500,000.

So you've taken high dose Ivermectin for Breast Cancer (2mg/kg/day) and after 4 months you're ""cancer free"". Now what?

It's a good problem to have, isn't it? 

And it's a question I get all the time. 

What do you do now? Do you stop the high dose? What does a ""maintenance protocol"" look like?

I go into some discussion on this topic in my new article...

Article Link in photo to avoid shadowban, just re-type the URL in the 1st photo at the top, into your browser to access    

#TurboCancer",1
"cancer will always love you, pisces, you complete each other.",1
"We both had breast cancer. Dee Mani and myself both decided to decline chemotherapy, radiotherapy, tamoxifen and zolodex following surgery.

For me, three studies stated that I had a 20% chance of surviving two years and 0% chance of surviving five years unless I did everything on the menu that they were offering. 
Well, here I am 12 years post diagnosis, and cancer free. I followed the full Gerson therapy, vitamin B 17 oral therapy, high dose  vitamin C therapy and mistletoe/Isidor injections into my abdomen.  The main part of my therapy and pretty much how I live today was the Gerson  therapy with diet and detox. 
For Dee, she used diet and detox and high THC cannabis oil.

Interestingly we are both attacked for being alive and for our choices just as Elle McPherson recently was. We are called dangerous! But if you are bald and  and sick and on palliative care after you have been poisoned and irradiated, you are called brave and a hero!

It’s all about choice and making a true informed decision. Do your own diligence and choose whatever you wish but you will go a long way by changing your diet.

We both have turned our survival into serving others to help them make their own informed choices. 🙏🏻

@DeeManiOfficial",1
